,clean_tweet,label
53,تتوالى البيانات والأبحاث التي تثبت فعالية التطعيم في الحماية من دخول المستشفى والعناية والوفاة احتمالية تنويم غير المتطعم تفوق مرة احتمالية من تلقى الجرعتين وتفوق مرة من تلقى الجرعة التنشيطية حتى الجرعة الواحدة لها حماية مهمة من دخول المستشفى بالتطعيم نقدر ,Pro-vaccine
54,لا تحملوا المواطنين فشلكم الذريع لا للتطعيم الاجباري ,Anti-vaccine
55,يجب أن يكون إحساسك إيجابياً مهما كانت الظروف، ومهما كانت التحديات، ومهما كان المؤثر الخارجي لن امتثل يوم الجمعة لا للتطعيم الاجباري,Anti-vaccine
56,الكرسي الكهربائي، متى وزارة التربية لا للتطعيم الاجباري الحرية الطبية غياب جماعي,Anti-vaccine
57,نورتوا الجامعة طلبتنا الاعزاء welcome back العودة للمدارس نعم للتطعيم نعود بحذر ,Pro-vaccine
58,الحمد لله تم التطعيم ,Pro-vaccine
59,الفال لنا 🤲 لا للتطعيم الاجباري ,Anti-vaccine
61, غير المطعمين انت مو متطعم مو متطمن للموضوع خايف يموتونك يالشخصية النادره اوك اتفهم وضعك لكن تصدعنا بانك ذكي وتقول بلعتوها يالمتطعمين شايفنا متسدحين بالشارع ولا متسودنين ناكل بعض ,Pro-vaccine
62,ليش الرفض لما الحكومة تدير بالها على الشعب وتبي اكبر عدد ممكن يتحصنون من كرونا يجون ناس يصارخون ابي افهم منو الدولة اللي تبي تستقبلك اذا السعودية ما تقبل الا المحصنين يجونهم فما بالك في أوروبا وغيرها نرفض اللقاح الاجباري نعم مع اللقاح الإجباري,Pro-vaccine
63, وَلَتَجِدَنَّهُمْ أَحْرَصَ النَّاسِ عَلَىٰ حَيَاةٍ للتذكير من يتداول عن أرقام وأحصائيات عن الصهاينة عليه أن يفكر جيداً أن هؤلاء أشد الناس تعلقاً بالدنيا سواء مشاهير أو أشخاص عاديين‼ كورونا لا للتطعيم الاجباري أوميكرون Fake jabs ⁉ Covid ,Anti-vaccine
64,كل جهد كلمة كانت او دعوى خروج باعتصام او تغريدة كلهم كانوا جهد كبير ساهم برفع الظلم عنا سأرفع صورة جواز السفر من البروفايل واعيد صورتي الشخصية الحرية الطبية تنتصر الحرية الطبية,Anti-vaccine
65, لا للتطعيم الاجباري فكرة التطعيم الاجباري تجعلنا نؤمن بأنه هناك فعلاً مؤامرة وراء أزمة كورونا ,Anti-vaccine
67,إسمي نور العبيد ناخبة في الدائرة الثانية لن أتهاون في الانتخابات القادمة مع أي نائب يتقاعس عن التصويت لصالح توصيات التعايش مع كورونا في جلسة فبراير جلسة ثلاثاء الحرية صوتي للحرية الطبية,Anti-vaccine
68,هل التطعيم آمن للحامل الجواب عند دايناس الياسين استشاري الباطنية وباطنية الحوامل مستشفى الأميري نعم للتطعيم صحة المرأة الحمل والولادة ,Pro-vaccine
69,جهود جبااااااره نحسد علينا والله ماكو مثل الكويت ربي يحفظها الكويت نعم للتطعيم الصفوف الأمامية أبطال ,Pro-vaccine
70, تم التطعيم ‍ @ ارض المعارض قاعه ,Pro-vaccine
72,اذا كان فيه حظر بسبب المتحور الهندي فليكن مدروساً وليس عشوائيا كالسابق وليعفى منه المتطعمين حتى يحسوا أن قرارهم بالاستجابه والمبادرة لطلب الجهات المعنية منهم التطعيم ويثقوا أكثر بقرارات الاجهزة الحكومية *ويسهل التحقق من ذلك بإبراز برنامج هويتي لنقاط التفتيش,Pro-vaccine
73,مساء الخير علي الجميع سؤال ليش الأصرار علي التطعيم علي الي ماطعمو يااخي تؤمنون بالحريات خلاص خلو الناس تختار علي حسب قناعتها ومحد فرض قناعته عليكم بعدم التطعيم السالفه مو غصب يعني ليش انا طعمت وانت ماطعمت لا للتطعيم الاجباري,Anti-vaccine
74,تعبنا ونحن نقول عن إنها لقاحات تجريبية والمصيبة الآن يريدون أن يجربوا تلك اللقاحات على المراهقين والأطفال‼ لماذا لا تنتظروا حتى تعدي اللقاحات الفترة التجريبية ثم بعد ذلك لكل حادث حديث⁉ لا للتطعيم الاجباري ,Anti-vaccine
75,اي قرارات عالمزاج خلف الله علي عقولهم بس لا للتطعيم الاجباري ,Anti-vaccine
78,بعد ما سمعت الجوله بين الدكتور صلاح الراشد والدكتور محمد الصفي ،،، حتى الان أذهب مع فكر ورأي الدكتور صلاح الراشد وجهة نظري البسيطه وشكراً خذها قاعدة مسار الحرية الكويت مساء الخير لا للتطعيم الاجباري التطعيم الاجباري التطعيم وقايه بونوريات ,Anti-vaccine
80,منطق ‼ الله يسمع منج يصير كل شي وارد كما قال جل جلاله ان مع العسر يسرا لا للتطعيم الاجباري ,Anti-vaccine
81,عادي مثل لما تدش الافنيوز بدون كمامة و في لوحات الدخول بكمامة لا للتطعيم الاجباري لا للتلقيح الاجباري ,Anti-vaccine
82,كلمة واحدة أجمع عليها الجيش الابيض: نعم للتطعيم بادر بالتسجيل الآن لحماية نفسك وأحبائك ووطنك كورونا كوفيد وزارة الصحة ,Pro-vaccine
85, لا للتطعيم الاجباري نرفض التطعيم التجريبي نرفض التطعيم الإجباري نرفض التطعيم الذي لايحمي من جميع الفايروسات نرفض التطعيم لاتعرف نتائجه في المستقبل بعد سنتين التطعيم لم يأخذ الوقت الكافي لدراسه وصنع في حاله طارئه لاتعرف نتائجه في المستقبل 🤔 ,Anti-vaccine
86,الحين وزارة الصحة ليش ما تدز مسجات حق الناس اللي صارلهم من شهر مسجلين في نظام التسجيل وقاعده تسوي حملات تطعيم اذا چذي عادي اللي مسجل يروح مكان الحملات ويطعم مادري اشلون يفكرون 🤔,Pro-vaccine
87,الي ماخذ اللقاح يفيدك هذا البرنامج نعم للتطعيم ,Pro-vaccine
88, انا مشارك في صناعة مسار الحرية,Anti-vaccine
89,الإحساس عقب التطعيم دوخة نساة الجرعة الثانية,Pro-vaccine
90,اللي ما يبي يطعم كيفه … بس تحريض الاخرين بعدم التطعيم دون دليل علمي وخزعبلات وسوالف شاي الضحى هو تهديد لامن الصحي وعلى وزارة الصحة التحرك… الاطباء في جابر وغيرهم مرهقين وسنتين بلا اجازات فلا تضغطون على عليهم وانتم على الاريكة وجدامك الدرابيل لا للتطعيم الاجباري,Pro-vaccine
91, عدل ما يبي يطعم مايشوف شر مو صعبة على الوزارة تتعاقد مع مدرسين وإلي مايبي يطعم عياله هم مايشوف شر يقعدون بالبيت نعم للتطعيم تعليم آمن دكتور عيالي جريب إن شاء الله يكملون سنوات ناطرين التطعيم حماية لهم وللمجتمع الله يرف,Pro-vaccine
92, وضع طلبة حالياً استجواب وزير التربيه مستحق لا للامتحانات الورقيه لا للتطعيم الاجباري لا لربط السفر بالتطعيم ,Anti-vaccine
93,الله المستعان ساحة الإرادة لا للتطعيم الاجباري ,Anti-vaccine
95,تجاربكم وخروها بعيد عن عيالنا أطفالنا خط أحمر,Anti-vaccine
96,ما لحد اي عذر الدفعة الثانية وصلت مهم نتجاوز الأزمة الصحية ونرجع للسابق وأمورنا ابخير ما ادري ليش التأخير من السلطات الصحية واعتقد بالعالم التأخير لكن في الكويت وصلت الدفعه الثانية نعم للتطعيم,Pro-vaccine
99,الحالات قاعده تنزل نعم للتطعيم ,Pro-vaccine
100,الرافضين للتطعيم منذ البداية / انتم ابطال بمعنى الكلمة ،، والبشرية تعتمد عليكم صمودكم رغم القرارات الظالمة ضدكم وتعليقات المناديب والمهرجين الغير محترمة طوال هذه الفترة وتصديكم لها ،، موقف يصرخ بالشجاعة شكرا لكم و هنيئا لكم صمودكم ،، الجرعة الثالثة الحرية الطبية,Anti-vaccine
101,رحم الله أيام استحلفكم بالله البقاء في بيوتكم بعدها انلعن خير خيرنا الحظر الجزئي الحظر الكلي الحظر المكس جزئي+كلي المتحور الهندي بالكويت الدلتا منع دخول المجمعات ممنوع السفر وصار لا للتطعيم الاجباري عقب ماكان التجاري اختياري,Anti-vaccine
102,ملاحظات اليوم في مشرف الناس بدت تفهم نعم للتطعيم الكل يبي فايزر🤔 جميع الجنسيات موجودة مافي تنظيم برة احس الداخلية ما لهم خلق الناس بس الله يعطيهم العافية قاعة فايزر مافي تباعد الطابور يمشي و ما يطول الناس تاخذ التطعيم و تطلع سهالات العربانات واصلة عند الجمعية ,Pro-vaccine
103, لا للتطعيم الاجباري نعم للتطعيم وبانتظار الجرعة الثالثة شهر ,Pro-vaccine
104,اشتقنا حق السفر والوعد قريب انا طعمت وانت ,Pro-vaccine
106,شكراً أحمد لتعود الحياة نعم للتطعيم خصم التطعيم ,Pro-vaccine
107,أنا شخصية رياضية ذات نظام غذائي صحي ونظيف، أؤمن بأن الجسم قادر على مقاومة الامراض من خلالهم أخيرا قررت تغليب المصلحة العامة على مصلحتي الخاصة وأخذت اليوم جرعتي الأولى من التطعيم أكتب ذلك ليس رياء والعياذ بالله ولكن قد يكون عاملا مشجعا لمن يحمل فكري نعم للتطعيم Cc ,Pro-vaccine
108,العودة للحياة الطبيعية مرتبطة بالتطعيم ، الحفاظ على الاقتصاد مرتبط بالتطعيم ، الحفاظ على التعليم مرتبط بالتطعيم والأهم الحفاظ على الارواح مرتبط بالتطعيم نعم للتطعيم,Pro-vaccine
109,التطعيم هو السبيل للعودة للحياة الطبيعية شكراً دكتور يوسف اخذ موعد للتطعيم وحافظ على صحتك وصحة احبابك نعم للتطعيم ,Pro-vaccine
110,التطعيم ضد كوفيد هو السبيل الوحيد لحماية البشرية من هذا الوباء، وهو حماية لنا و لأحبائنا من أن يكونوا ضحايا لهذا الفايروس، ولكي نعود إلى الحياة الطبيعية التي نرجوها جميعا فلا تتردد بالتسجيل نعم للتطعيم ,Pro-vaccine
111,دكتور قول لهم يطعمون ترى كلهم بيسمعون كلامك نعم للتطعيم ,Pro-vaccine
112, مسار الحرية تجلى الليلة الماضية و لن نتخلى عنه مهما حدث,Anti-vaccine
113, مسحه باليوم من دينار هذي الف يعني بالشهر مليون و الف وتبيني اقولك الازمه انتهت لا للتطعيم الاجباري مجلس الأمة,Anti-vaccine
114,زيادة في الاصابات زيادة بالحالات داخل العناية المركزة و للحين في ناس تشكك باللقاح شنو ناطرين لازم احد من اهلكم يدخل العناية علشان تاخذ التطعيم نعم للتطعيم,Pro-vaccine
115, لووووووول آنا آسف والله أحس باقيلي شوي وأطلع لكم بالأحلام نعم للتطعيم ,Pro-vaccine
116,العبيد فقط يطلبون الحرية الأحرار يصنعونها والوعد في ساحة الإرادة بعد قليل لا للتطعيم الاجباري ,Anti-vaccine
117, لين تطعمون كلكم نعم للتطعيم ,Pro-vaccine
118,اتمنى ربعنا يستفيدون من هالحظر ويطعمون أكبر عدد ممكن من المواطنين و المقيمين، مراكز التطعيم منتشرة ومغطية أغلب اذا مو كل مناطق الكويت لو نشغلها كلها بطاقتها الفعلية والله نقدر نطعم الكل بفترة ما تتجاوز الشهر بحد أقصى الحظر,Pro-vaccine
119, تم التطعيم اللهم اجعل فيه الشفاء والعافيه يارب ,Pro-vaccine
120,مع تأييدي لفكرة عدم التضييق على غير المطعمين لكن أرفض ان يخلط البعض السم بالعسل الشيوخ لهم التقدير والاحترام ولا ينبغي التعرض لشخوصهم ساحة الإرادة لا للتطعيم الاجباري,Anti-vaccine
121, وزارة الصحة نست كورونا وركزت باللقاح نست صحة الافراد وركزت بالضغط عالطاقم الطبي لا للتطعيم الاجباري,Anti-vaccine
122,نعم للتطعيم الجرعة الثالثة وبقوة للحفاظ على المناعة المجتمعية التي ساهمت في تقليل الاصابات بالفيروس ولا تلتفتوا الى بعض الكذابين واصحاب القصص الوهمية الي الى الان وهم يحاولون ينفرون الناس من التطعيم وهم مطعمين واعرفهم بالاسم عجبي ,Pro-vaccine
123,متى اليرعة الثانية استجواب وزير الصحة لقاح اكسفورد الجرعة الثانية الكويت,Pro-vaccine
124,أسعد مَن تُحِب ، إبتسم لِمن حولِك وتواضع للجميع ، فَالحياة بسيطَة جداً كل شخص له قناعاته وغير مُجبر على أي أمر غير مُخير فيه علينا نحترمه من دون تجريح لشخصه ونرتقي إشوي صباح رايق و حلو قهوتي فيروز صباح الخير صباح السعاده لا للتطعيم الاجباري ,Anti-vaccine
125,ماتقوم به وزارة التربية من فرض المسحة واختصارها على المعلمين والمعلمات وطلاب المدارس دون باقي وزارات الدولة وصمت جمعية المعلمين صمت القبور هو بيع هؤلاء لوزارة الصحة ليكونوا حقلا للتجارب والعبث والتدريب وتدمير منظم للعملية التعليمية من خلال فقد الاطمئنان النفسي معلمون ضد الاجبار,Anti-vaccine
126,خبر عاجل:ترفض إدارة الغذاء والدواء FDA حقنات فايزر المعززة لمعظم الناس‼ نرجوا من الجهات المعنية أن تأخذ هذا الخبر المهم بعين الاعتبار وكفى تطعيمات تجريبية‼ Breaking news: FDA rejects Pfizer ‼booster shots for most لا للتطعيم الاجباري معلمون ضد الاجبار,Anti-vaccine
127,نعم للتطعيم تطعيم كوفيد covidvacccine @ أرض المعارض مشرف ,Pro-vaccine
128,الحل للوصول للمناعة المجتمعية الي من خلالها نقدر نرد حق حياتنا الطبيعية اهوا التطعيم اذا ماسجلت بعدك للتطعيم سجل، واذا عندك تساؤل أو تخوّف تقدر تسأل المختصين والكل مستعد يجاوبك نعم للتطعيم ,Pro-vaccine
129,كما تدين تُدان وكما تُعين تُعان وكما ترحم تُرحم وكما تزرع تحصُد برقبتك يا وزير الصحه لا للتطعيم الاجباري كورونا العشر الاواخر,Anti-vaccine
130,قصاصات الفيديوهات التي تشكك بالتطعيم لا تقف صامدة امام المشاهد اليومية للمرضى في الاجنحة والعنايات المركزة شافاهم الله خرافات لا تسمن ولا تغني عن اخذ التطعيم والحماية من المرض نعم للتطعيم ,Pro-vaccine
131,اطالب بوجود عضو مجلس امه امثلنا احنا غير المطعمين,Anti-vaccine
132, ألف تحية لكم يا رفاق الصمود لا للتطعيم الاجباري ,Anti-vaccine
133,حظر هالسنه مو اللي تبيكلش مو شيالسنه اللي طافت وايد احلا اونس وكنا ماخذين مقلب ان الحكومة عارفين شغلهم لا للحظر نعم للتطعيم,Pro-vaccine
134, نعم للتطعيم أحترم قراراتكم بالنسبه لي ناطر التطعيم الثاني أكسفورد,Pro-vaccine
135,التطعيم يحفظ حياتك وحياة احبابك نعم للتطعيم ,Pro-vaccine
138, لا للتطعيم الاجباري لمن تنتقد تعلم شلون تسولف لمن تشبه ابرة تطعيم مو مجربه ومانعرف مكوناتها بابرة الفيلر والبوتوكس الي نعرف مكوناتها و مجربه سنين و آمنه للاستخدام و شروطها واضحه هني تثبت انك تافه وتستظرف وايد لان ماكو شبه بين الاثنين ، الموضوع مو خوف من غزة الابره كلش,Anti-vaccine
139,متشوقة لرؤية طلبتي الاسبوع القادم، مع اجراءات وتدريبات وتحضيرات نعود بإذن الله تعالى نعم للتطعيم نعود بحذر العودة للمدارس ,Pro-vaccine
140,سؤال وجيه بس هل الجهلا يفتهمون لا للتطعيم الاجباري ,Anti-vaccine
141,ليش خايفين من المو متطعمين نينيني نينيني لا للتطعيم الاجباري,Anti-vaccine
142,لجميع من أخذ اللقاح عطونا تجربتكم وماهي الأعراض أول يومين حتي يرتاح كل من يشك ويأخذ اللقاح ونرجع للحياة الطبيعية نعم للتطعيم,Pro-vaccine
143,بالتقرير المنشور عن دراسة أمان وفعالية للفئه يذكر أن عينة الدراسه صغيره جداً ولا تكفي كمؤشر للتنبؤ بالخطوره من الآثار الجانبية هل يعقل ي وزارة الصحة اعتماد هذه الدراسات الغير كافية لتطعيم فلذات اكبادنا هل أبناءنا فئران تجارب لشركات تنتفع على حساب صحتهم أطفالنا خط أحمر ,Anti-vaccine
144,الحمدالله نعم للتطعيم تم التطعيم الكويت ,Pro-vaccine
145,مسحة الكورونا تنفيع لا للتطعيم الاجباري,Anti-vaccine
146, حالة بالعناية 🤦‍ الله يشافيهم الحل بالتطعيم نعم للتطعيم ,Pro-vaccine
147,ولا عزاء للمشككين ومناهضين التطعيم تم التطعيم ,Pro-vaccine
148,الصراحه اقنعني اروح اخذ التطعيم منو اقتنع نفسي لا للتطعيم الاجباري ,Anti-vaccine
149,يجب أن يكون إحساسك إيجابياً مهما كانت الظروف، ومهما كانت التحديات، ومهما كان المؤثر الخارجي لن امتثل يوم الجمعة لا للتطعيم الاجباري,Anti-vaccine
150,الحرية لا وطن لها الحرية سماء والسماء وطن الجميع الحرية المطلقة لاتنبع إلا من العبودية الصحيحة لله وحده يستطيع الناس تمييز الحق من الباطل في جو الحرية النقي من شوائب الضغط والقسوة والاستبداد صناعة مسار الحرية لا للتطعيم الاجباري,Anti-vaccine
151,القرود راحت مصيف واحنا قاعدين لا للتطعيم الاجباري ,Anti-vaccine
153,بعد ما سمعت الجوله بين الدكتور صلاح الراشد والدكتور محمد الصفي ،،، حتى الان أذهب مع فكر ورأي الدكتور صلاح الراشد وجهة نظري البسيطه وشكراً خذها قاعدة مسار الحرية الكويت مساء الخير لا للتطعيم الاجباري التطعيم الاجباري التطعيم وقايه بونوريات ,Anti-vaccine
154,احمد ربي على نعمة اسرتي الغالية اللي ولا مره تنمروا علي او قالولي كلام يضيق الخلق عن اللقاح او عدم تلقيه لي ولأبنائي واصدقائي وصديقاتي الصامدين معاي او اللي تلقحوا ايضا فعلا مباديء الانسان بينت بهالازمه وانا فخوره فيهم لأقصى درجة الحرية الطبية الحرية الطبية تنتصر,Anti-vaccine
155,هل يعقل ونحن في دولة تملك دستور وبرلمان وديمقراطية وعلاوة على ذلك معروف عنها إنها ببلد الإنسانية ويجبر شعبها على التطعيم⁉ وعليه لا للتطعيم الاجباري,Anti-vaccine
156,تجربتي مع كورونا 🦠 ولله الحمد اني ماخذه التطعيم جرعتين من مارس فايزر / حسيت بإحتقان بسيط جدا لايذكر وكحه خفيفه جداا / نفس الاعراض سويت مسحه كا اطمئنان زايد على الناس اللي حولي خصوصا النادي كوني يوميا اروح طلعت ايجابيه لكن اليوم انا اقولكم / مافيني شي 🤲 نعم للتطعيم ,Pro-vaccine
157,وكيل « وزارة الصحة» المساعد للصحة العامة دبثينة المضف: «العالم كله يعاني من فيروس كورونا، والحل بالتطعيم، ونعمل على تقليل الإصابة من خلال منع السفر، وغيره من الإجراءات الأخرى» استراتيجية «الصحة» تعتمد على منع وفادة المرض والحد من انتشاره ,Pro-vaccine
158,والله العظيم عيب ترى الشعب مثقف و واعي ،، تتم معاملته معاملة رياض الأطفال انت يا وزير الصحه قلت التطعيم و ترجع الحياة لطبيعتها، شنو اللي تغيير تبي أطعم الشعب يا جماعة منو الدولة اللي أتمت تطعيمات شعبها الحرية الطبية لا للتطعيم الاجباري ,Anti-vaccine
